GVT-Bin, LP0, LP1, LP2, LP3, LP4, LP5, LP6, LP7, LP8, LP9, LP10, LP11, LP12, LP13, LP14, LP15, LP16, LP17, LP18, LP19, LP20, LP21, LP22, LP23, LP24, LP25, LP26, LP27, LP28, LP29, LP30, LP31, LP32, LP33, LP34, LP35, LP36, LP37, LP38, LP39, LP40, LP41, LP42, LP43, LP44, LP45, LP46, LP47, LP48, LP49, LP50, LP51, LP52, LP53, LP54, LP55, LP56, LP57, LP58, LP59, LP60, LP61, LP62, LP63, LP64, LP65, LP66, LP67, LP68, LP69, LP70, LP71, LP72, LP73, LP74, LP75, LP76, LP77, LP78, LP79, LP80, LP81, LP82, LP83, LP84, LP85, LP86, LP87, LP88, LP89, LP90, LP91, LP92, LP93, LP94, LP95, LP96, LP97, LP98, LP99, LP100, LP101, LP102, LP103, LP104, LP105, LP106, LP107, LP108, LP109, LP110, LP111, LP112, LP113, LP114, LP115, LP116, LP117, LP118, LP119, LP120, LP121, LP122, LP123, LP124, LP125, LP126, LP127, LP128, LP129, LP130, LP131, LP132, LP133, LP134, LP135, LP136, LP137, LP138, LP139, LP140, LP141, LP142, LP143, LP144, LP145, LP146, LP147, LP148, LP149, LP150, LP151, LP152, LP153, LP154, LP155, LP156, LP157, LP158, LP159, LP160, LP161, LP162, LP163, LP164, LP165, LP166, LP167, LP168, LP169, LP170, LP171, LP172, LP173, LP174, LP175, LP176, LP177, LP178, LP179, LP180, LP181, LP182, LP183, LP184, LP185, LP186, LP187, LP188, LP189, LP190, LP191, LP192, LP193, LP194, LP195, LP196, LP197, LP198, LP199
0.000000,  0,  2,  1,  1,  8,  0,  0,  1,  5,  1,  1,  0,  7,  1,  1,  1,  9,  1,  1,  1, 11,  1,  1,  2,  8,  1,  5,  2, 11,  1,  1,  1,  7,  1,  1,  1,  8,  1,  2,  1, 12,  0,  1,  1,  6,  1,  1,  1,  8,  1,  1,  1,  6,  1,  1,  1,  4,  1,  1,  1,  3,  1,  1,  1,  3,  1,  1,  1,  5,  1,  1,  1,  3,  1,  1,  1,  4,  1,  1,  1,  3,  1,  1,  1,  0,  1,  1,  1,  1,  1,  1,  1,  3,  1,  1,  1, 10,  1,  1,  1, 12,  1,  0,  1,  2,  0,  1,  1,  2,  1,  0,  2,  3,  1,  1,  1,  2,  1,  1,  1,  9,  1,  1,  1,  5,  0,  1,  1,  6,  1,  1,  1,  1,  1,  1,  1, 17,  1,  3,  1,  2,  3,  1,  1,  9,  2,  1,  1,  3,  1,  1,  1,  6,  1,  1,  0,  9,  1,  1,  1,  2,  1,  1,  3,  2,  1,  1,  1,  2,  1,  1,  1,  5,  1,  1,  2,  5,  2,  1,  1,  7,  1,  2,  1,  5,  2,  1,  1,  4,  1,  1,  1,  6,  1,  1,  1, 11,  1,  1,  1
112.615265,  0,  0,  0, 12,  0,  0,  1, 13,  0,  1,  0, 14,  0,  0,  0, 12,  0,  0,  1, 12,  0,  1,  0, 15,  0,  0,  2, 11,  0,  0,  0, 12,  0,  0,  0, 26,  0,  0,  0, 16,  0,  0,  1, 14,  0,  0,  1, 14,  0,  0,  0, 14,  0,  1,  0, 12,  0,  0,  1, 15,  0,  0,  0, 20,  0,  1,  0, 12,  0,  0,  1, 14,  0,  2,  0, 13,  0,  1,  0, 11,  0,  0,  0, 19,  0,  1,  1,  9,  0,  2,  0, 10,  0,  0,  0, 16,  0,  1,  0, 16,  0,  1,  0,  8,  0,  1,  1, 13,  0,  0,  1,  7,  0,  0,  1, 14,  0,  0,  1, 11,  0,  1,  0, 25,  0,  0,  0,  9,  0,  1,  0, 16,  0,  0,  1, 26,  0,  0,  0, 11,  0,  0,  1, 13,  0,  0,  0, 10,  0,  0,  0, 16,  0,  0,  0, 16,  0,  0,  0, 19,  0,  0,  0,  9,  0,  1,  1, 11,  0,  0,  1, 12,  0,  0,  1, 20,  0,  1,  1, 14,  0,  0,  0,  8,  0,  0,  1, 12,  0,  0,  1,  8,  0,  0,  0, 12,  0,  0,  1, 14
143.450150,  0,  0,  0, 15,  0,  0,  0, 18,  0,  0,  0, 23,  0,  0,  0, 31,  0,  0,  0, 16,  0,  0,  0, 25,  0,  0,  0, 10,  0,  0,  0,  9,  0,  0,  0, 27,  0,  0,  0, 25,  0,  0,  0, 11,  0,  0,  0, 12,  0,  2,  0, 21,  0,  0,  0, 13,  0,  0,  0, 15,  0,  0,  0, 20,  0,  0,  2, 10,  0,  0,  0, 22,  0,  0,  0, 13,  0,  0,  0, 13,  0,  0,  0, 29,  0,  0,  0, 12,  0,  2,  0, 30,  0,  0,  0, 20,  0,  0,  0, 19,  0,  1,  0, 33,  0,  3,  0, 12,  0,  1,  0, 15,  0,  1,  0, 13,  0,  0,  0,  8,  0,  0,  0, 26,  0,  0,  0, 19,  0,  0,  0, 21,  0,  0,  0, 20,  0,  1,  0, 18,  0,  0,  0, 13,  0,  0,  0, 14,  0,  1,  0, 30,  0,  0,  0, 22,  0,  0,  0, 14,  0,  0,  0, 22,  0,  0,  0, 20,  0,  0,  0, 10,  0,  0,  0, 13,  0,  0,  2, 34,  0,  0,  0, 22,  0,  0,  0, 21,  0,  0,  0, 29,  0,  0,  0, 21,  0,  0,  0, 40
176.391113,  0,  2,  0, 23,  2,  2,  2, 24,  0,  2,  2, 19,  0,  2,  2, 21,  1,  2,  2, 10,  2,  2,  0, 30,  0,  0,  0, 35,  1,  0,  1, 13,  1,  1,  1, 26,  2,  0,  2, 22,  0,  0,  1, 24,  1,  0,  2, 32,  0,  1,  2, 19,  2,  0,  0, 13,  2,  1,  2, 21,  3,  0,  0, 31,  0,  0,  0, 20,  1,  0,  0, 16,  0,  2,  2, 21,  0,  0,  1, 14,  2,  1,  0,  8,  0,  1,  1, 19,  0,  1,  0, 20,  0,  1,  0, 30,  0,  1,  0, 16,  3,  2,  4, 21,  0,  1,  0, 33,  3,  0,  0, 14,  0,  0,  1, 23,  0,  0,  0, 12,  2,  2,  0, 28,  0,  0,  0, 28,  0,  2,  0, 24,  0,  1,  0, 12,  0,  1,  4, 21,  0,  1,  1, 21,  0,  1,  2, 28,  0,  0,  4, 18,  0,  0,  0, 14,  0,  0,  0, 29,  5,  0,  4,  8,  2,  2,  2, 16,  0,  0,  1, 23,  2,  0,  0, 19,  0,  2,  1, 19,  0,  1,  0,  9,  0,  0,  3, 27,  2,  0,  1, 25,  0,  0,  1, 16,  0,  1,  2, 14
205.374084,  1,  2,  1, 17,  1,  0,  1, 15,  1,  1,  0, 11,  1,  1,  2, 12,  0,  0,  1, 12,  1,  0,  1, 14,  0,  2,  2, 17,  1,  1,  0,  7,  0,  2,  4, 15,  1,  2,  0, 12,  0,  1,  1,  9,  1,  1,  1, 11,  0,  0,  1, 19,  1,  0,  1, 25,  1,  1,  1, 14,  1,  1,  1, 19,  1,  1,  1, 14,  1,  1,  0, 25,  1,  1,  0, 11,  1,  0,  0,  9,  1,  1,  1, 12,  0,  2,  2, 11,  0,  0,  0, 23,  1,  0,  1, 14,  1,  0,  0, 27,  0,  1,  4, 14,  0,  1,  1, 10,  1,  0,  3, 10,  0,  2,  1, 13,  1,  1,  1, 10,  1,  1,  1, 23,  2,  2,  0, 16,  0,  2,  0, 18,  0,  0,  0, 23,  0,  3,  2, 10,  1,  1,  0, 12,  3,  0,  2,  7,  1,  0,  1, 10,  0,  0,  1, 18,  1,  0,  0,  6,  0,  0,  1,  9,  1,  1,  0, 10,  2,  0,  0, 12,  1,  1,  1, 12,  0,  2,  2, 13,  0,  1,  0, 12,  0,  2,  2, 13,  1,  0,  0,  9,  0,  0,  0,  7,  0,  1,  1, 29
239.004166,  1,  1,  0, 14,  1,  0,  1, 18,  0,  0,  1, 22,  1,  1,  0, 16,  1,  0,  1, 30,  0,  0,  1, 45,  0,  2,  2, 20,  1,  1,  1, 22,  1,  1,  0, 14,  1,  3,  3, 18,  0,  0,  1, 15,  0,  0,  1, 13,  1,  0,  1, 43,  0,  1,  0, 12,  0,  0,  1, 18,  1,  0,  0, 32,  0,  0,  1, 29,  1,  0,  1, 22,  1,  1,  0, 22,  0,  1,  0, 12,  1,  0,  1, 22,  0,  1,  1, 12,  1,  0,  0, 21,  1,  1,  1, 18,  1,  0,  1, 18,  2,  1,  2, 25,  1,  1,  1, 33,  1,  0,  2, 22,  0,  2,  0, 18,  1,  1,  0, 22,  1,  1,  1, 23,  1,  2,  1, 20,  0,  1,  1, 15,  1,  1,  0, 20,  1,  2,  0, 29,  1,  1,  0, 14,  1,  2,  0, 23,  1,  2,  0, 20,  1,  0,  1, 34,  1,  1,  1, 12,  1,  0,  1, 14,  0,  1,  0, 19,  1,  0,  1, 20,  0,  1,  1, 18,  0,  2,  0, 29,  1,  1,  0, 17,  1,  1,  1, 39,  1,  5,  0, 17,  1,  0,  1, 27,  1,  0,  1, 24
271.346497,  1,  1,  0, 43,  1,  1,  0, 22,  1,  1,  0, 28,  1,  1,  0, 28,  0,  0,  1, 20,  0,  1,  1, 21,  2,  1,  0, 29,  0,  1,  1, 24,  1,  0,  0, 22,  1,  0,  1, 28,  1,  1,  1, 23,  1,  0,  1, 37,  1,  4,  1, 21,  0,  0,  2, 19,  1,  0,  1, 17,  1,  0,  1, 28,  0,  1,  1, 13,  1,  0,  1, 20,  0,  1,  1, 19,  0,  1,  1, 23,  1,  1,  1, 21,  2,  0,  1, 14,  1,  0,  1, 23,  1,  1,  1, 17,  1,  0,  0, 24,  2,  1,  1, 19,  0,  1,  0, 18,  1,  0,  0, 33,  1,  3,  0, 21,  1,  0,  1, 21,  1,  1,  1, 31,  1,  1,  1, 18,  0,  1,  1, 25,  1,  1,  0, 22,  0,  6,  2, 24,  1,  1,  0, 29,  1,  1,  0, 27,  1,  2,  2, 24,  1,  1,  1, 36,  1,  0,  1, 18,  1,  1,  1, 14,  1,  1,  0, 11,  1,  1,  0, 25,  0,  1,  1, 17,  1,  0,  1, 24,  1,  1,  0, 26,  1,  1,  0, 22,  1,  2,  0, 30,  1,  0,  0, 41,  0,  1,  1, 17
300.569977,  1,  1,  0,  8,  1,  1,  1,  9,  1,  1,  1,  9,  1,  1,  1, 11,  1,  1,  1, 13,  1,  1,  1, 17,  2,  1,  1, 21,  1,  1,  1, 25,  1,  1,  2, 25,  0,  0,  1, 11,  1,  0,  1, 30,  0,  0,  0, 12,  1,  5,  1, 14,  0,  0,  0, 15,  1,  0,  1, 11,  1,  1,  2, 14,  1,  1,  1, 18,  1,  0,  1, 18,  1,  1,  1, 14,  0,  1,  1, 13,  1,  1,  1, 16,  1,  1,  1, 12,  0,  0,  1, 28,  1,  1,  1,  8,  1,  0,  0, 18,  2,  1,  1, 17,  0,  1,  1, 14,  0,  0,  2, 26,  0,  2,  1, 14,  2,  0,  0, 13,  1,  1,  1, 11,  1,  1,  0,  8,  0,  1,  1, 14,  0,  0,  1, 14,  1,  3,  2, 14,  1,  1,  1, 10,  1,  1,  0, 11,  1,  0,  0,  9,  1,  1,  1, 28,  1,  0,  1, 16,  0,  1,  1, 15,  1,  1,  0, 13,  1,  1,  1, 15,  1,  1,  1, 11,  1,  2,  0, 28,  1,  1,  1, 16,  1,  1,  0, 14,  0,  3,  1, 20,  0,  1,  0, 15,  1,  1,  1, 12
330.007019,  1,  1,  0,  9,  1,  0,  0, 44,  0,  1,  1, 21,  1,  1,  1, 61,  1,  0,  1,  6,  0,  1,  1, 21,  2,  1,  0, 19,  0,  1,  0,  9,  1,  1,  0, 23,  0,  3,  2, 25,  1,  1,  1, 13,  1,  1,  1, 26,  0,  0,  1, 22,  0,  0,  1, 13,  1,  0,  1, 27,  1,  0,  1, 22,  0,  1,  1, 23,  1,  1,  1, 14,  1,  1,  1, 20,  1,  0,  1, 14,  0,  1,  0, 21,  1,  0,  1, 15,  1,  0,  1, 24,  1,  1,  1, 12,  1,  1,  0,  7,  2,  1,  1, 24,  1,  1,  1, 18,  1,  1,  2, 25,  1,  1,  1, 15,  1,  1,  0, 32,  1,  1,  1, 28,  1,  1,  1, 14,  1,  1,  1, 20,  0,  1,  1, 31,  0,  3,  2, 13,  1,  1,  1, 25,  1,  1,  1, 34,  1,  0,  1, 18,  1,  1,  1, 25,  1,  0,  1, 20,  1,  1,  1, 20,  0,  1,  0, 10,  1,  1,  1, 15,  1,  0,  1, 18,  0,  2,  0, 13,  0,  1,  0, 16,  1,  1,  1, 23,  0,  3,  1, 17,  1,  1,  1, 36,  1,  1,  1, 20
351.655182,  4,  1,  0, 16,  1,  1,  1,  7,  0,  1,  1, 11,  1,  6,  1,  9,  1,  0,  1,  8,  0,  1,  1,  5,  0,  2,  2, 13,  2,  1,  1,  5,  1,  1,  1, 15,  1,  0,  3, 17,  4,  1,  0,  5,  0,  0,  1,  6,  0,  7,  2,  9,  0,  1,  1,  8,  2,  1,  1, 15,  2,  0,  1, 11,  1,  1,  1, 14,  1,  1,  1,  7,  1,  3,  1,  8,  1,  0,  1,  7,  1,  1,  0,  5,  1,  1,  1, 16,  2,  1,  2, 14,  2,  0,  1, 19,  1,  1,  1, 13,  0,  1,  2, 14,  1,  1,  0, 11,  1,  2,  3, 13,  1,  1,  1, 10,  2,  1,  0, 12,  2,  1,  1, 13,  0,  2,  0,  7,  2,  1,  2, 10,  0,  1,  0, 20,  0,  5,  2, 10,  1,  2,  1, 11,  1,  1,  0,  7,  1,  1,  1, 11,  2,  0,  2,  7,  1,  1,  1, 11,  0,  2,  2,  7,  1,  5,  2, 10,  0,  1,  1, 11,  2,  2,  1, 11,  1,  3,  2, 16,  0,  1,  1, 14,  2,  1,  1, 29,  0,  0,  1,  8,  1,  0,  0, 27,  3,  1,  0, 13
378.656494,  0,  2,  1, 26,  1,  0,  0, 21,  1,  0,  1, 17,  1,  2,  0, 50,  0,  0,  1, 38,  0,  1,  1, 27,  2,  3,  0, 12,  0,  1,  1, 13,  1,  1,  2, 14,  0,  4,  1, 32,  0,  0,  0, 18,  1,  1,  1, 19,  0,  0,  0, 22,  1,  1,  1, 18,  1,  1,  1, 16,  0,  0,  2, 23,  1,  1,  1, 22,  1,  0,  1, 19,  1,  0,  0, 12,  1,  0,  1, 15,  0,  1,  0, 24,  1,  1,  1, 17,  1,  0,  1, 45,  0,  0,  1, 20,  1,  0,  0, 10,  2,  1,  1, 19,  1,  1,  0, 22,  1,  0,  0, 22,  1,  2,  0, 22,  1,  0,  1, 22,  0,  1,  1, 28,  1,  6,  0, 13,  1,  0,  1, 25,  0,  1,  1, 16,  0,  3,  0, 13,  0,  0,  1, 16,  0,  0,  0, 30,  0,  1,  1, 40,  1,  0,  1, 18,  1,  1,  1, 40,  0,  1,  0, 16,  1,  0,  1, 18,  0,  1,  1, 19,  0,  0,  1, 32,  2,  2,  0, 31,  1,  1,  1, 24,  0,  0,  0, 31,  0,  0,  1, 18,  1,  1,  0, 27,  3,  1,  1, 14
395.181793,  1,  3,  0, 30,  1,  1,  0,  9,  2,  0,  1, 20,  1,  3,  0, 34,  0,  0,  0,  7,  1,  1,  2,  5,  0,  2,  4, 27,  1,  1,  0, 12,  2,  2,  0, 17,  0,  3,  1,  5,  1,  0,  0, 18,  0,  1,  0, 10,  1,  5,  1, 19,  1,  0,  1, 11,  0,  0,  0, 13,  1,  1,  2, 13,  1,  1,  1, 26,  0,  1,  1, 10,  0,  1,  1, 17,  1,  0,  1, 17,  1,  1,  0, 14,  1,  0,  1,  7,  7,  0,  1, 11,  1,  1,  1,  8,  0,  1,  1,  8,  2,  3,  1, 21,  1,  2,  0, 41,  1,  1,  2, 15,  1,  0,  0, 20,  2,  1,  1, 17,  1,  1,  2, 27,  0,  3,  0, 21,  1,  1,  1, 12,  1,  1,  1,  7,  0,  1,  2, 18,  0,  1,  1, 13,  1,  1,  0, 21,  0,  1,  0, 21,  1,  0,  1, 14,  1,  1,  1,  5,  0,  1,  1,  8,  0,  3,  1, 17,  1,  1,  2, 19,  1,  1,  2, 25,  0,  1,  1,  8,  0,  1,  1,  8,  2,  2,  2, 12,  1,  0,  1, 20,  0,  1,  0, 13,  1,  1,  1, 20
418.436737,  1,  6,  0, 20,  1,  1,  1,  5,  0,  0,  0,  8,  1,  1,  0, 20,  1,  0,  1,  7,  0,  0,  1,  5,  0,  3,  0, 16,  1,  0,  1,  3,  1,  1,  2, 14,  0,  0,  1, 31,  1,  0,  1,  9,  1,  0,  0,  1,  0,  1,  1,  6,  1,  0,  1,  2,  0,  0,  1, 13,  1,  0,  0, 10,  0,  0,  1, 11,  1,  1,  0, 13,  1,  2,  1,  8,  1,  2,  0, 12,  1,  0,  2,  9,  0,  0,  1, 18,  1,  2,  1, 12,  0,  0,  1, 11,  0,  1,  0, 15,  0,  2,  1, 17,  0,  1,  0, 10,  1,  1,  1,  8,  0,  4,  0, 23,  3,  1,  0, 18,  1,  1,  1, 32,  0,  4,  0, 24,  1,  1,  1, 11,  0,  1,  0, 21,  0,  3,  1, 11,  0,  0,  2,  5,  1,  1,  1,  9,  2,  2,  0,  5,  0,  1,  1, 10,  1,  0,  0,  9,  0,  1,  1,  9,  0,  1,  0,  5,  0,  1,  0,  4,  1,  1,  2, 18,  0,  0,  1, 14,  1,  1,  0,  8,  1,  1,  1, 17,  1,  0,  0,  4,  1,  0,  1, 15,  0,  0,  1,  9
450.358826,  1,  1,  2, 33,  1,  0,  1, 22,  1,  0,  1, 16,  1,  1,  2, 20,  1,  1,  0, 35,  1,  1,  1, 27,  0,  2,  2, 33,  1,  0,  0, 24,  2,  2,  0, 30,  1,  5,  0, 14,  1,  1,  1, 26,  0,  0,  1, 43,  0,  1,  3, 12,  1,  0,  0, 39,  2,  0,  1, 12,  3,  0,  3, 35,  2,  1,  1, 19,  1,  1,  1, 16,  0,  1,  0, 22,  1,  0,  2, 18,  2,  2,  2, 23,  2,  0,  1, 14,  0,  3,  0, 15,  0,  1,  0, 30,  0,  3,  2, 31,  1,  1,  4, 26,  2,  0,  1, 38,  0,  0,  1, 14,  2,  4,  0, 16,  0,  1,  1, 19,  1,  1,  2, 15,  0,  3,  0, 25,  0,  1,  1, 13,  0,  3,  1, 21,  0,  0,  0, 20,  1,  0,  0, 18,  0,  1,  1, 17,  0,  1,  0, 40,  1,  0,  1, 19,  1,  1,  1, 39,  1,  0,  1, 19,  1,  2,  1, 27,  0,  0,  1, 20,  1,  2,  0, 18,  0,  3,  0, 31,  0,  1,  1, 29,  3,  1,  3, 24,  1,  1,  1, 28,  1,  1,  1, 19,  1,  1,  1, 51
476.764343,  1,  1,  0, 23,  1,  0,  0, 12,  0,  0,  1, 15,  1,  1,  2, 12,  1,  0,  2, 17,  4,  1,  0, 10,  0,  0,  2, 20,  2,  1,  2, 12,  2,  1,  0, 13,  1,  1,  2, 15,  1,  1,  0, 21,  1,  1,  1, 16,  0,  2,  1, 25,  1,  0,  1, 14,  0,  1,  0, 19,  1,  1,  2, 16,  2,  2,  1, 17,  0,  1,  1,  9,  2,  2,  2, 13,  1,  0,  1, 11,  1,  1,  1, 15,  3,  2,  1, 14,  3,  0,  3, 21,  2,  1,  2,  9,  2,  2,  2,  8,  0,  1,  1, 26,  1,  2,  2, 19,  2,  1,  1, 14,  0,  2,  1, 15,  2,  1,  1, 19,  1,  1,  1, 21,  1,  1,  0, 16,  2,  0,  1, 16,  1,  1,  5, 18,  1,  3,  0, 13,  1,  2,  0, 26,  0,  1,  1, 17,  1,  1,  2, 16,  1,  1,  1, 21,  1,  2,  5, 14,  0,  2,  2, 16,  0,  1,  1,  9,  1,  1,  1,  9,  1,  0,  2, 11,  0,  3,  2, 22,  1,  1,  1, 19,  1,  0,  1,  8,  2,  0,  1, 13,  1,  2,  0, 19,  2,  3,  0, 20
489.080231,  1,  1,  1, 22,  1,  0,  0, 19,  1,  0,  1, 17,  1,  1,  1, 16,  0,  0,  0,  8,  1,  1,  0, 24,  1,  2,  1, 11,  1,  0,  2, 21,  1,  1,  0, 14,  1,  1,  2, 17,  1,  1,  0,  9,  1,  1,  0, 13,  0,  1,  1, 22,  1,  1,  0,  7,  1,  1,  0, 24,  1,  1,  1, 19,  1,  1,  1,  9,  1,  1,  1, 12,  1,  1,  1,  7,  1,  2,  1, 10,  1,  1,  1,  5,  0,  2,  1, 22,  1,  1,  1, 17,  0,  1,  1, 18,  1,  1,  1, 10,  1,  1,  1, 19,  0,  1,  0, 11,  1,  1,  1, 14,  1,  4,  0, 20,  0,  0,  0, 13,  1,  1,  1, 11,  0,  1,  0, 12,  1,  1,  1, 19,  1,  1,  2, 12,  1,  0,  0, 16,  0,  2,  0, 14,  1,  2,  1, 10,  1,  1,  1, 15,  1,  0,  1,  6,  1,  4,  1,  6,  2,  1,  1, 14,  1,  1,  1, 23,  1,  1,  1, 12,  1,  1,  1, 11,  0,  3,  1, 10,  0,  1,  1, 17,  0,  1,  1, 19,  1,  1,  1, 12,  1,  1,  1, 23,  1,  1,  1, 10
511.257874,  0,  0,  0, 32,  0,  1,  1,  8,  0,  0,  0,  6,  0,  0,  0, 11,  1,  0,  1, 28,  0,  0,  0, 12,  0,  0,  0, 15,  1,  0,  2,  8,  0,  0,  0,  9,  1,  0,  0, 10,  0,  0,  0, 10,  0,  0,  0, 15,  0,  0,  0,  6,  0,  0,  0,  3,  1,  1,  0, 32,  1,  0,  0, 15,  0,  0,  0,  6,  0,  0,  0,  5,  0,  0,  0,  9,  0,  0,  2,  8,  0,  0,  0,  6,  2,  2,  0, 18,  0,  0,  0,  7,  0,  1,  0,  4,  0,  0,  0, 28,  0,  0,  0,  7,  1,  0,  1,  9,  0,  0,  0, 39,  0,  0,  0,  4,  0,  0,  1, 29,  0,  0,  0, 18,  0,  0,  0, 14,  0,  0,  0, 11,  0,  0,  3,  3,  0,  0,  1,  8,  1,  0,  0, 12,  1,  1,  0,  7,  1,  0,  0, 21,  1,  1,  0, 20,  0,  1,  1,  5,  0,  0,  0, 19,  0,  1,  1, 10,  0,  1,  0,  3,  0,  0,  0, 20,  1,  7,  0, 18,  1,  0,  0, 34,  1,  0,  0, 12,  0,  1,  1, 12,  0,  0,  1, 29,  0,  0,  0,  5
525.426086,  1,  1,  0, 37,  1,  1,  0,  8,  0,  1,  0, 42,  1,  1,  3, 25,  1,  0,  1, 18,  1,  1,  1, 34,  2,  2,  2, 22,  0,  0,  0, 10,  2,  2,  2, 15,  0,  0,  1, 35,  1,  0,  0, 15,  1,  1,  0, 16,  1,  1,  1, 16,  0,  0,  1, 19,  0,  0,  0, 33,  0,  2,  0,  6,  1,  1,  1, 52,  1,  1,  1, 30,  1,  1,  1, 11,  2,  2,  2, 16,  1,  1,  2, 15,  0,  2,  2, 18,  2,  3,  2, 34,  1,  1,  1, 13,  5,  2,  1, 14,  0,  1,  2, 17,  1,  1,  1, 27,  1,  1,  0, 18,  0,  1,  1, 17,  0,  1,  0, 22,  2,  2,  2, 29,  0,  1,  1, 13,  0,  1,  1, 18,  1,  1,  1, 57,  1,  0,  0, 14,  0,  0,  1, 36,  0,  0,  1, 24,  1,  1,  2,  7,  1,  0,  3, 14,  1,  0,  1, 34,  0,  3,  2, 26,  1,  0,  1,  9,  1,  0,  1, 28,  0,  1,  1, 12,  0,  6,  1, 32,  3,  1,  1, 17,  0,  0,  1, 10,  2,  0,  0, 23,  1,  0,  1, 16,  1,  1,  1, 27
542.853821,  0,  2,  0,  7,  4,  0,  0,  8,  0,  0,  2, 16,  1,  1,  1,  2,  0,  0,  0,  5,  0,  0,  0,  4,  2,  3,  0,  9,  3,  0,  0,  9,  1,  2,  0, 12,  2,  0,  0,  6,  2,  0,  1, 39,  0,  0,  0,  7,  0,  0,  0, 12,  1,  0,  2,  6,  1,  1,  1, 12,  1,  0,  0,  7,  0,  0,  2, 18,  0,  2,  0, 11,  2,  5,  0,  4,  0,  3,  0, 17,  1,  2,  1, 10,  1,  0,  0, 20,  0,  0,  0,  8,  0,  0,  0, 26,  0,  1,  0,  6,  1,  1,  2, 12,  0,  0,  0, 10,  0,  1,  1,  6,  0,  3,  0, 11,  0,  1,  1,  4,  1,  1,  1, 11,  2,  1,  0,  8,  0,  2,  1, 16,  1,  0,  0,  7,  0,  8,  0,  8,  1,  1,  0, 26,  2,  1,  2, 14,  0,  0,  0, 11,  0,  0,  2,  5,  3,  1,  0,  2,  0,  0,  3, 14,  0,  2,  0, 13,  0,  0,  0, 10,  0,  1,  0,  4,  1,  0,  0,  9,  0,  1,  0, 12,  0,  0,  1,  8,  0,  6,  1, 11,  2,  0,  0,  4,  0,  0,  1,  6
568.756165,  0,  0,  0, 18,  0,  1,  1,  9,  1,  0,  0, 18,  0,  0,  0, 50,  1,  1,  1, 10,  1,  1,  0, 20,  0,  0,  3, 14,  3,  0,  0, 24,  0,  0,  2, 22,  3,  0,  2, 14,  0,  1,  0, 36,  1,  0,  0, 30,  1,  0,  0, 18,  1,  0,  0, 22,  1,  1,  0, 30,  1,  2,  2,  9,  1,  2,  0, 20,  0,  0,  3, 42,  0,  0,  2, 21,  1,  0,  1, 12,  0,  0,  0, 35,  0,  1,  0, 15,  1,  1,  0, 35,  1,  1,  1, 22,  1,  0,  1, 29,  0,  0,  0, 46,  1,  1,  0, 43,  1,  0,  0,  8,  1,  0,  0, 21,  2,  0,  0, 55,  0,  0,  0, 29,  1,  0,  2, 18,  0,  0,  0, 29,  0,  1,  1, 42,  1,  6,  2, 18,  2,  1,  1, 30,  1,  3,  0, 27,  2,  0,  2, 38,  2,  0,  0, 14,  0,  2,  2, 17,  0,  2,  0, 14,  1,  3,  1, 32,  1,  0,  1, 12,  1,  0,  1, 15,  1,  3,  1, 42,  1,  0,  1, 28,  0,  0,  0, 39,  1,  3,  0, 24,  0,  1,  1, 57,  1,  1,  0, 29
584.974426,  3,  2,  0, 38,  1,  1,  1, 27,  0,  1,  1, 33,  1,  1,  2, 28,  1,  1,  0, 31,  1,  1,  0, 23,  3,  3,  0, 17,  0,  0,  0, 25,  1,  3,  3, 12,  2,  0,  1, 28,  4,  1,  1, 17,  1,  1,  2, 11,  1,  0,  2, 34,  0,  1,  1, 27,  1,  0,  1, 27,  0,  1,  0, 20,  0,  2,  1, 29,  0,  2,  0, 28,  1,  2,  2, 13,  2,  5,  1, 10,  1,  6,  1,  8,  2,  1,  0, 13,  1,  0,  0, 35,  1,  1,  1, 23,  4,  1,  1, 12,  0,  1,  4, 27,  1,  2,  0, 38,  2,  1,  1,  9,  0,  2,  1, 20,  3,  2,  0, 16,  1,  1,  3, 25,  2,  3,  3, 19,  1,  1,  4, 24,  1,  1,  1, 22,  1,  7,  0, 37,  1,  1,  1, 13,  0,  6,  0, 12,  3,  0,  1, 19,  1,  0,  1, 47,  1,  1,  1, 31,  1,  1,  1, 36,  1,  0,  1, 20,  0,  1,  1, 27,  1,  1,  1,  8,  2,  3,  3, 14,  1,  1,  1, 25,  3,  0,  1, 18,  1,  3,  1, 17,  1,  3,  0, 41,  0,  1,  1, 16
